run,wall_sec,context_switches
1,25.11,2421
2,21.97,2442
3,21.98,2447
4,21.98,2481
5,21.97,2466
6,21.96,2439
7,21.98,2476
8,21.97,2439
9,21.98,2438
10,21.98,2438
