 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0 264236 4728192   5132 326076    0   47   143    78  333    0  0  0 100  0  0  0
 2  1 264236 4731656   5308 327568    0    0   480     0 1446  650  0  1 94  4  0  0
 0  0 264236 4747868   5308 327572    0    0     0     0 1239  669  0  1 98  1  0  0
 3  0 264236 4764768   5316 327584    0    0     4    60  757  452  0  1 88 12  0  0
 4  0 264236 2717064   5720 355904    0    0 11568     0 4672  798 25 23 52  0  0  0
 4  0 264236 2491236   5720 355912    0    0     0     0 4381  326 43  8 50  0  0  0
 4  0 264236 2433980   6656 359980    0    0  5000     0 5562 1344 35 19 46  1  0  0
 3  1 272432 2274844   6656 359984    0 8196     0  8196 4991  908 43  8 48  1  0  0
 3  6 290864 2289740   6660 359984    0 18432     0 18484 3621  457 26 12 21 41  0  0
 3  3 306224 2272496   6664 361500    0 15360     4 15364 17762 5150 30  9  9 52  0  0
 2  2 313488 2790872   6672 361504    0 7264     0  7284 3686  749 23 14 30 33  0  0
 2  2 313952 2277360   6672 361512    0  464     0   464 2634  398 17  8 50 25  0  0
 2  2 314436 2818380   6672 361516    0  484     0   484 2424  380 19  7 50 25  0  0
 2  2 314744 2256984   6672 361520    0  308     0   308 2421  417 21  5 50 25  0  0
 2  2 314744 2599036   6672 361528    0    0     0     0 2487  504 17  8 49 25  0  0
 2  4 314904 2262824   6676 361532    0  160     0   176 2492  326 22  3 48 27  0  0
 2  2 316096 2260520   6680 361540    0 1192     0  1196 4117  721 19  7 30 44  0  0
 6  2 316256 2647028   6680 361544    0  160     0   160 2428  454 17  9 50 25  0  0
 2  2 317476 2269016   6944 361548    0 1220   264  1220 2443  374 22  3 50 25  0  0
 2  2 320596 2437748   6944 361556    0 3120     0  3120 2927  458 17  9 50 25  0  0
 2  2 323008 2812240   6952 361560    0 2412     0  2432 2831  438 22  4 43 31  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  2 327664 2399164   6952 361572    0 4656     0  4656 4424 3518 18 10 47 25  0  0
 2  2 329568 2824928   6952 361576    0 1904     0  1904 2715  436 23  3 50 25  0  0
 2  4 330916 2341936   6956 361572    0 1348     4  1516 2710  483 16  9 50 25  0  0
 1  3 358092 2305960   6956 361580    0 27176     0 27588 5390 1269 21  2 49 28  0  0
 4  0 451900 2315984   7096 361584    0 93808   132 93860 17157 5293  7 10 49 33  0  0
 1  3 519780 2863436   7096 361592    0 67880     0 67880 12337 3787 12  4 49 34  0  0
 1  3 521460 2317632   7096 361596    0 1680     0  1680 1757  451  8  5 50 37  0  0
 1  3 521460 2772500   7096 361600    0    0     0     0 1407  368 11  2 50 37  0  0
 1  3 522036 2325888   7100 361616    0  576     4   760 1703  428  9  4 49 37  0  0
