 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 176912 4912344   6220 331220    0   27   142    58  330    0  0  0 100  0  0  0
 1  0 176912 4919824   6228 331356    0    0     0    60  482  340  0  0 99  0  0  0
 0  0 176912 4932160   6228 331384    0    0     0     0 1261  662  1  1 98  0  0  0
 1  1 176912 4947988   6360 331404    0    0   152     0 1256  693  1  1 97  1  0  0
 5  0 176912 4514152   6632 359752    0    0 11464     0 2204  886  7  7 78  9  0  0
 7  0 176912 3583356   6632 359760    0    0     0     0 4301  364 37 14 50  0  0  0
 5  0 176912 3062944   6640 359756    0    0     0    48 4337  357 38 13 49  0  0  0
 4  0 176912 3067288   6640 359768    0    0     0     0 4856  662 38 14 48  0  0  0
 4  0 176912 4023224   6640 359776    0    0     0     0 5165  805 40 12 48  0  0  0
 4  0 176912 3109684   6640 359780    0    0     0     0 4327  373 43  8 50  0  0  0
 4  0 176912 2910456   6640 359788    0    0     0     0 4381  469 42  8 50  0  0  0
 6  0 176912 3893920   6648 359800    0    0     0    16 5282 1787 42 11 48  0  0  0
 4  0 176912 3063032   6648 359812    0    0     0     0 5250 2380 44  8 48  0  0  0
 4  0 176912 2567764   6648 359820    0    0     0     0 4367  368 35 15 49  0  0  0
 4  0 176912 3821576   6648 359824    0    0     0     0 4358  432 39 12 49  0  0  0
 4  0 176912 3157836   6648 359832    0    0     0     0 4406  462 45  6 50  0  0  0
 4  0 176912 2953132   6656 359828    0    0     0    16 4332  341 43  8 50  0  0  0
 4  0 176912 3409232   6656 359840    0    0     0     0 4390  393 37 13 50  0  0  0
 4  0 176912 2829912   6656 359848    0    0     0     0 4361  320 45  6 49  0  0  0
 4  0 176912 2827644   6656 359852    0    0     0     0 4618  466 43  7 49  0  0  0
 4  0 176912 3886124   6656 359860    0    0     0     0 4545  504 41 10 49  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 176912 3404464   6664 359860    0    0     0    16 4380  352 43  8 49  0  0  0
 4  0 176912 3327748   6664 359872    0    0     0     0 4388  351 42  9 49  0  0  0
 4  0 176912 3811908   6664 359880    0    0     0     0 4345  359 41 10 50  0  0  0
 7  0 176912 3237928   6664 359884    0    0     0     0 4437  473 41 10 49  0  0  0
 4  0 176912 2962180   6664 359892    0    0     0     0 4408  433 42  8 49  0  0  0
 5  0 176912 3577996   6672 359888    0    0     0    16 5263 1890 44  8 47  0  0  0
 4  0 176912 3417120   6676 359896    0    0     4   540 5599 2768 45  7 48  0  0  0
 4  0 176912 3283696   6676 359908    0    0     0     0 4373  351 42  8 50  0  0  0
 4  0 176912 3628844   6676 359912    0    0     0     0 4396  368 41 10 50  0  0  0
 4  0 176912 3349032   6808 359920    0    0   128     0 4418  426 42  8 49  0  0  0
 4  0 242720 3350304   6816 359916    0 65744     0 65788 4638  426 40 11 49  0  0  0
 3  1 526348 3178528   6824 359948    0 283692     8 283896 5153  555 31 13 49  6  0  0
 3  1 541708 3164484   6824 359956    0 15360     0 15360 3652  412 30  9 50 12  0  0
 3  1 541708 3809736   6824 359960    0    0     0     0 3395  367 29  9 50 12  0  0
 4  1 541708 3159808   6824 359968    0    0     0     0 3478  475 32  6 50 12  0  0
 3  3 541708 3202140   6828 359968    0    0     0    36 3473  350 30  8 44 18  0  0
 3  2 574476 3149648   6832 359976    0 32768     0 32776 9576 1331 31  8 22 39  0  0
 3  1 589836 3886448   6832 359984    0 15360     0 15360 3795  536 31  8 50 12  0  0
 3  1 589836 3239708   6832 359988    0    0     0     0 3521  385 33  5 49 12  0  0
 3  2 623628 3261736   6840 359992    0 33792     0 33816 5694 3702 33  9 28 30  0  0
 3  2 624404 3310192   6840 360004    0  776     0   776 3365  454 28  6 50 17  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  2 624404 2874204   6840 360008    0    0     0     0 3010  733 22  5 49 24  0  0
 2  2 624404 2689384   6840 360020    0    0     0     0 2414  458 18  7 50 25  0  0
 2  2 624404 2890312   6840 360024    0    0     0     0 2376  360 19  7 50 25  0  0
 3  3 624636 2729888   6848 360028    0  232     0   248 2461  366 22  3 35 40  0  0
 3  3 624880 3040252   6848 360036    0  244     0   244 2469  350 20  5 50 25  0  0
 3  2 625832 2671632   6848 360040    0  952     0   952 2538  361 20  6 50 25  0  0
 2  2 637068 2834728   6848 360048    0 11236     0 11236 3382  632 21  5 50 24  0  0
 2  2 697404 3038512   6848 360052    0 60336     0 60336 7881 1915 21  7 50 22  0  0
 4  0 705184 2641928   7116 360028    0 7704   260  7720 3054  504 22  4 30 44  0  0
 4  2 746320 2796640   7116 360064    0 41212     0 41212 6729 1148 21  6 50 23  0  0
 2  2 747992 2971444   7116 360068    0 1672     0  1672 2651  428 21  5 50 25  0  0
 3  2 754368 2888628   7116 360076    0 6376     0  6376 3490  601 21  5 50 25  0  0
 2  2 755964 2750960   7116 360080    0 1596     0  1596 2656  425 21  5 49 25  0  0
 2  2 845872 2955184   7124 360088    0 89908     0 89924 13848 6005 23  9 46 22  0  0
 2  2 870116 2561492   7124 360092    0 24244     0 24244 4950  832 21  6 49 24  0  0
 1  3 871820 2757384   7124 360096    0 1704     0  1704 2698  439 20  5 49 25  0  0
 1  3 871952 2565932   7124 360104    0  132     0   132 1532  391 11  2 49 37  0  0
 1  3 872596 2359496   7124 360108    0  644     0   644 1543  367 10  3 50 37  0  0
 0  9 872600 2348440   7128 360108    0    4     0    16  510  378  1  0 24 75  0  0
 0  4 873288 2358784   7136 360124    0  688     4   936 1139  816  0  0 20 80  0  0
 0  4 873696 2364844   7136 360128    0  408     0   408  746  515  0  1 50 50  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  4 874208 2364276   7144 360136    0  512     0   552  865  372  0  0 47 53  0  0
 0  4 874848 2373736   7144 360144    0  640     0   640  812  401  0  1 50 50  0  0
