procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  3 218444 4729552   6244 350944    0   54   143    86  334    0  0  0 99  0  0  0
 0  0 218444 4734456   6252 351316    0    0     0    56  553  398  0  0 99  1  0  0
 0  0 218444 4750196   6252 351320    0    0     0     0 1102  585  0  1 98  0  0  0
 0  1 218444 4762092   6388 352028    0    0   996     0 2035 1286  2  2 96  1  0  0
 4  0 218444 4322288   6656 380948    0    0 10292     0 4754 3835 24  7 64  5  0  0
 4  0 218444 3557372   6656 380960    0    0     0     0 4389  484 43  8 50  0  0  0
 4  0 218444 2729276   6664 380964    0    0     0    44 4325  374 42  9 50  0  0  0
 4  0 218444 4356448   6664 380968    0    0     0     0 4897  740 36 15 48  0  0  0
 4  0 218444 3519984   6664 380976    0    0     0     0 4913  769 43  8 49  0  0  0
 4  0 218444 2758904   6664 380980    0    0     0     0 4336  403 43  8 50  0  0  0
 4  0 218444 4351960   6664 380988    0    0     0     0 4374  430 38 12 49  0  0  0
 4  2 218444 3496152   6668 380992    0    0     0    12 4328  365 42  9 48  2  0  0
 4  0 218444 4382504   6748 381628    0    0   700     4 9372 1042 40 11 32 16  0  0
 4  0 218444 4200192   6748 381636    0    0     0     0 4339  369 40 10 50  0  0  0
 4  0 218444 3336832   6748 381640    0    0     0     0 4312  342 42  9 50  0  0  0
 4  0 218444 4369708   6756 381648    0    0     0    72 4311  384 38 12 49  0  0  0
 4  0 218444 3840432   6888 381652    0    0   132     0 4389  380 40 11 49  0  0  0
 4  0 218444 3172660   6888 381656    0    0     0     0 4336  312 45  6 49  0  0  0
 4  0 218444 4067660   6888 381648    0    0     0     0 5876 3456 40 13 47  0  0  0
 4  0 218444 3801756   6888 381652    0    0     0     0 4320  349 45  6 50  0  0  0
 4  0 218444 3133616   6896 381660    0    0     0    20 4353  355 45  6 49  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 218444 4883420   6896 381668    0    0     0     0 4324  421 38 13 50  0  0  0
 4  0 218444 4169560   6896 381672    0    0     0     0 4275  334 39 12 49  0  0  0
 4  0 218444 3359396   7040 381680    0    0   144     0 4364  411 40 11 49  1  0  0
 4  0 218444 3782184   7040 381684    0    0     0     0 4345  341 39 12 49  0  0  0
 5  0 218444 4254252   7048 381692    0    0     0    16 4366  346 41  9 49  0  0  0
 5  0 218444 3965632   7056 381696    0    0     8   612 4533  541 42  8 49  0  0  0
 4  0 342860 3766996   7056 381700    0 124416     0 124416 5177  623 39 12 49  0  0  0
 3  1 674152 3828380   7056 381708    0 331292     0 331292 5709  616 31 14 49  5  0  0
 3  2 674152 3771640   7060 381712    0    0     4     0 3696  463 32  6 50 12  0  0
 3  3 698728 3714944   7320 381720    0 24576   256 24612 3618  452 31  8 47 14  0  0
