procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  5 171624 3167944   6708 363908    0    0   144    32 4307  332 48  2 18 32  0  0
 4  0 171624 3385272   6712 364056    0    0     0     4 4478  422 48  2 41  8  0  0
 4  0 232888 3048888   6712 364064    0 60944     0 60944 4623  476 47  4 50  0  0  0
 3  1 433772 2909980   6712 364068    0 201204     0 201204 5127  897 36  7 49  8  0  0
 3  1 726124 3437148   6712 364076    0 292352     0 292352 6076 1403 37  9 48  6  0  0
 3  1 777836 2680680   6720 364080    0 51712     0 51732 4208  664 37  3 36 25  0  0
 3  1 793196 3180528   6720 364092    0 15360     0 15360 3698  552 36  2 49 12  0  0
 3  1 793196 3027392   6720 364096    0    0     0     0 3621  513 36  2 50 12  0  0
 4  0 188008 4001896   6720 364100    0 18428     0 18428 4362  765 39  5 49  6  0  0
 4  0 188008 3666992   6720 364108    0    0     0     0 4381  434 48  2 49  0  0  0
 4  0 188008 2608736   6728 364112    0    0     0    20 6557 4097 51  3 46  0  0  0
 3  1 255084 3611980   6728 364120    0 67076     0 67076 4254  599 41  3 49  7  0  0
 3  1 270956 2867696   6728 364124    0 15872     0 15872 3710  580 36  2 49 12  0  0
 4  0 656204 3323928   6728 364128    0 385176     0 385176 6110 1034 36 11 49  4  0  0
 3  1 765548 2736456   6728 364136    0 109416     0 109416 4575  714 36  5 49 10  0  0
 3  1 820332 2239724   6736 364136    0 54784     0 54804 4679  864 37  4 30 30  0  0
 4  0 188008 4037988   6736 364148    0 7676     0  7676 5076  607 44  8 48  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 188008 3146148   6736 364152    0    0     0     0 4370  419 47  3 50  0  0  0
 4  0 188008 3381020   6736 364156    0    0     0     0 4429  509 47  4 49  0  0  0
 4  0 188008 3727972   6736 364160    0    0     0     0 4443  464 46  5 50  0  0  0
 4  0 188008 3291952   6744 364172    0    0     0    20 4371  438 47  4 49  0  0  0
 4  0 188008 3527400   6744 364176    0    0     0     0 4395  458 46  5 49  0  0  0
 4  0 188008 3219920   6744 364180    0    0     0     0 4410  455 46  5 49  0  0  0
 4  0 188008 3430404   6744 364184    0    0     0     0 4467  517 47  4 49  0  0  0
 4  0 188008 3710968   6744 364196    0    0     0     0 4351  438 48  2 49  0  0  0
 4  0 188008 2757272   6752 364200    0    0     0    20 6025 3084 50  3 47  0  0  0
 4  0 188008 4475540   6752 364204    0    0     0     0 4487  527 48  3 49  0  0  0
