 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0  18052 5105532   5224 334820    0  105   144   137  340    0  0  0 99  0  0  0
 1  0  18052 5127528   5260 335492    0    0   192     0  590  371  0  0 99  0  0  0
 0  0  18052 5135996   5400 336332    0    0   132    64  774  490  0  1 99  0  0  0
 1  0  18052 5166764   5400 336344    0    0     4     0  892  575  1  1 99  0  0  0
 4  0  18052 4385968   5804 365976    0    0 11284     0 5708 3273 41  9 50  0  0  0
 4  0  18052 3506056   5804 365988    0    0     0     0 4290  348 43  7 50  0  0  0
 5  0  18052 3094156   5804 365992    0    0     0     0 4501  414 42  9 49  0  0  0
 4  0  18052 4287828   5804 365996    0    0     0     0 4617  513 41 10 49  0  0  0
 4  0  18052 3390180   5812 366004    0    0     0    48 4694  692 43  8 49  0  0  0
 4  0  18052 4260128   5812 366008    0    0     0     0 4297  372 40 11 50  0  0  0
 4  0  18052 3853012   5812 366016    0    0     0     0 4319  369 39 11 50  0  0  0
 4  0  18052 3200728   5812 366020    0    0     0     0 4271  319 43  8 50  0  0  0
 4  0  18052 3823152   5812 366024    0    0     0     0 4297  333 41  9 50  0  0  0
 4  0  18052 4216648   5820 366032    0    0     0    16 4501  524 41 10 49  0  0  0
 4  0  18052 3306480   6080 366036    0    0   260     0 4299  331 43  8 49  0  0  0
 4  0  18052 3770528   6080 366044    0    0     0     0 4348  354 41  9 49  0  0  0
 4  0  18052 4128448   6080 366048    0    0     0     0 4393  352 41 10 49  0  0  0
 4  0  18052 3204864   6080 366052    0    0     0     0 4396  411 43  7 49  0  0  0
 4  0  18052 4523260   6088 366060    0    0     0    16 4430  405 41 10 49  0  0  0
 4  0  18052 4067280   6088 366064    0    0     0     0 6012 3500 45  8 47  0  0  0
 4  0  18052 3152988   6088 366072    0    0     0     0 4348  354 43  8 50  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0  18052 4225968   6088 366080    0    0     0     0 4384  410 41 10 50  0  0  0
 4  0  18052 4048916   6088 366084    0    0     0     0 4342  321 41 10 50  0  0  0
 4  0  18052 3372456   6096 366092    0    0     0    16 4390  388 42  9 49  0  0  0
 4  0  18052 4223404   6096 366096    0    0     0     0 4418  467 41 11 49  0  0  0
 4  0  18052 3971240   6096 366104    0    0     0     0 4339  382 42  8 50  0  0  0
 4  0  18052 3673712   6096 366108    0    0     0     0 4369  345 42  8 49  0  0  0
 4  0  18052 4180524   6096 366112    0    0     0     0 4374  351 39 11 50  0  0  0
 4  0  18052 3930240   6104 366120    0    0     0   604 4558  497 41  9 49  0  0  0
 4  0  18052 3700552   6104 366124    0    0     0     0 4307  298 41  9 50  0  0  0
 4  0  18052 4263220   6104 366132    0    0     0     0 4377  423 40 11 49  0  0  0
 4  0  18052 3858296   6104 366136    0    0     0     0 4358  330 43  8 50  0  0  0
 4  0  18052 3595312   6104 366144    0    0     0     0 4334  312 42  9 50  0  0  0
 4  0  18052 4663340   6120 366144    0    0     8   256 4353  375 38 12 50  0  0  0
 4  0  18052 3817760   6120 366164    0    0     0     0 5327 2919 44  9 47  0  0  0
 4  0  18052 3072180   6120 366172    0    0     0     0 4296  372 38 13 50  0  0  0
