procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 203780 5321972   4228 339344    0   72   143   103  337    0  0  0 99  0  0  0
 0  0 203780 5344924   4232 339836    0    0     4     0  487  357  0  0 99  0  0  0
 4  0 203780 5367528   4256 340652    0    0   172    60 1081  591  0  1 98  0  0  0
 0  1 203780 5380796   4524 341688    0    0  1420     0 1187  667  1  1 98  0  0  0
 4  0 203780 4555136   4924 369632    0    0 11060     0 4539  557 44  4 52  0  0  0
 4  0 203780 3706980   4924 371164    0    0     4     0 6350 3797 49  4 47  0  0  0
 4  0 203780 3991936   4924 371168    0    0     0     0 4335  378 47  3 50  0  0  0
 4  0 774752 3858680   4924 371172    0 570884     0 570884 7222 1039 36 16 48  0  0  0
 4  0 203780 3503252   4932 371180    0 69116     0 69164 5238  879 45  7 49  0  0  0
 4  0 203780 4376196   4932 371184    0    0     0     0 4362  375 48  2 50  0  0  0
 4  0 203780 3969812   4932 371192    0    0     0     0 4389  361 48  2 50  0  0  0
 4  0 203780 3690096   4932 371196    0    0     0     0 4384  362 48  3 50  0  0  0
 4  0 203780 3119744   4932 371200    0    0     0     0 4352  344 48  3 50  0  0  0
 4  0 203780 4147660   4940 371208    0    0     0    16 4313  370 49  1 50  0  0  0
 4  0 203780 4297880   5072 371212    0    0   132     0 4409  392 49  2 49  0  0  0
 4  0 203780 3892124   5072 371220    0    0     0     0 4385  329 49  2 50  0  0  0
 4  0 203780 4078136   5072 371224    0    0     0     0 4341  342 47  3 50  0  0  0
 5  0 758672 3305280   5072 371228    0 554816     0 554816 6627  740 36 14 50  0  0  0
 4  0 203780 4233448   5080 371236    0 85184     0 85204 5449  538 43  8 49  0  0  0
 4  0 203780 3905696   5080 371240    0    0     0     0 4334  356 47  3 50  0  0  0
 4  0 203780 4165732   5080 371248    0    0     0     0 6071 3260 50  4 47  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 203780 3962228   5080 371256    0    0     0     0 4310  360 46  4 50  0  0  0
 4  0 203780 3860664   5080 371260    0    0     0     0 4318  363 48  3 49  0  0  0
 4  0 203780 4340848   5088 371268    0    0     0    16 4366  370 47  4 50  0  0  0
 4  0 203780 3918708   5088 371272    0    0     0     0 4269  330 49  2 49  0  0  0
 4  0 203780 3503560   5088 371280    0    0     0     0 4315  337 48  2 50  0  0  0
 4  0 768904 3987248   5088 371284    0 565044     0 565044 6627  784 38 13 49  0  0  0
 4  0 203780 4212544   5088 371288    0 74956     0 74956 5102  478 44  6 50  0  0  0
 4  0 203780 3844996   5100 371296    0    0     4   420 4468  529 49  2 49  0  0  0
 4  0 203780 4083060   5100 371300    0    0     0     0 4318  353 48  2 50  0  0  0
 4  0 203780 3689340   5100 371308    0    0     0     0 4361  330 49  2 49  0  0  0
 4  0 203780 3912852   5100 371312    0    0     0     0 4337  331 48  2 50  0  0  0
 3  1 418312 3731248   5100 371320    0 214532     0 214532 4719  479 39  6 49  6  0  0
 4  0 545284 3635164   5116 371336    0 126972     8 127220 4743  744 37  5 36 23  0  0
 3  1 826888 3494848   5116 371340    0 281604     0 281604 5484  810 36  8 49  6  0  0
 4  0 220164 4458728   5116 371348    0 16892     0 16892 6577 4187 47  6 47  0  0  0
 4  0 220164 4189936   5116 371352    0    0     0     0 4361  395 49  2 49  0  0  0
 4  0 220164 3798104   5116 371356    0    0     0     0 4423  427 48  2 49  0  0  0
 4  0 220164 4092612   5124 371364    0    0     0    28 4310  375 48  2 47  3  0  0
 4  0 220164 3726808   5124 371368    0    0     0     4 4342  352 49  2 50  0  0  0
 5  0 220164 4597376   5124 371376    0    0     0     0 4340  322 47  3 50  0  0  0
 4  0 220164 4255988   5124 371384    0    0     0     0 4304  314 47  4 50  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 220164 3247524   5124 371388    0    0     0     0 4368  338 47  3 50  0  0  0
 4  0 220164 4738980   5132 371400    0    0     0    24 4377  366 47  4 50  0  0  0
 4  0 220164 3760096   5132 371404    0    0     0     0 4302  314 48  2 49  0  0  0
 4  0 220164 4025648   5132 371412    0    0     0     0 4500  514 48  2 49  0  0  0
 4  0 220164 4282540   5132 371416    0    0     0     0 4329  329 48  2 50  0  0  0
 4  0 220164 3249496   5400 371420    0    0   268     0 4364  384 49  2 49  0  0  0
 4  0 220164 4743828   5408 371428    0    0     0    16 4308  383 48  2 50  0  0  0
 4  0 220164 3729100   5408 371432    0    0     0     0 4296  348 49  2 50  0  0  0
 4  0 220164 3434924   5408 371440    0    0     0     0 6103 3341 49  4 47  0  0  0
 4  0 220164 3936980   5408 371444    0    0     0     0 4331  370 49  2 50  0  0  0
 4  0 220164 3768740   5408 371448    0    0     0     0 4295  345 49  2 50  0  0  0
 4  0 220164 4683516   5416 371456    0    0     0    16 4374  378 47  4 50  0  0  0
 4  0 220164 3726676   5416 371460    0    0     0     0 4312  298 47  3 50  0  0  0
 4  0 220164 4569972   5416 371468    0    0     0     0 4389  425 47  4 49  0  0  0
 4  0 220164 4250928   5416 371472    0    0     0     0 4349  317 49  2 50  0  0  0
 4  0 220164 3219672   5416 371476    0    0     0     0 4330  333 48  2 50  0  0  0
 4  0 220164 4713576   5424 371484    0    0     0    16 4350  356 48  2 50  0  0  0
 4  0 220164 3700068   5424 371488    0    0     0     0 4353  317 49  2 49  0  0  0
 4  0 220164 4529816   5424 371496    0    0     0     0 4391  297 48  2 50  0  0  0
 4  0 220164 4187896   5424 371504    0    0     0     0 4405  342 49  2 50  0  0  0
 4  0 220164 3138060   5424 371508    0    0     0     0 4355  315 49  2 50  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 220164 4637248   5432 371512    0    0     0    16 4373  347 48  3 50  0  0  0
 4  0 220164 3621692   5432 371532    0    0     0   224 4364  303 49  2 49  0  0  0
 4  0 220164 4403256   5432 371540    0    0     0     0 6419 3683 50  3 46  0  0  0
 4  0 220164 4101760   5432 371544    0    0     0     0 4366  319 48  2 49  0  0  0
 4  0 220164 3037028   5432 371548    0    0     0     0 4384  387 48  2 49  0  0  0
 4  0 220164 4554672   5440 371556    0    0     0    28 5495  374 48  5 48  0  0  0
 4  0 220164 3492800   5440 371560    0    0     0     0 4304  345 49  2 49  0  0  0
 2  2 355408 3350904   5440 371564    0 135244     0 135244 10594 2456 37  5 51  7  0  0
 2  2 564352 3468952   5440 371572    0 208852     0 208852 18006 4196 25  9 51 15  0  0
 1  3 576140 2954660   5440 371572    0 11880     0 11880 3398  568 24  2 50 24  0  0
 1  3 586256 3337944   5448 371580    0 10116     0 10132 2887  604 12  5 56 27  0  0
 5  3 593812 3081188   5448 371584    0 7556     0  7556 2265  476 12  1 62 25  0  0
 1  3 607888 3438044   5448 371588    0 14076     0 14076 2953  676 12  2 62 24  0  0
 1  3 650444 3174380   5448 371596    0 42556     0 42556 5371 1430 12  3 62 23  0  0
 1  3 672100 2927720   5448 371600    0 21656     0 21656 3492  916 12  2 62 24  0  0
 1  3 676292 3312792   5456 371608    0 4192     0  4208 2080  469 11  2 61 26  0  0
 1  3 679464 3072412   5456 371612    0 3172     0  3172 2065  458 11  3 62 25  0  0
 1  3 682028 2858900   5456 371616    0 2564     0  2564 3956 3922 13  3 60 24  0  0
 1  3 683972 3206920   5456 371624    0 1944     0  1944 1714  419 11  2 62 25  0  0
 1  3 686084 2959364   5456 371632    0 2112     0  2112 1732  396 12  1 62 25  0  0
 0  4 688064 2778636   5464 371640    0 1980     0  1996 1509  390  9  1 59 31  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  4 689260 2790680   5464 371644    0 1196     0  1196  853  376  0  1 52 47  0  0
 0  4 691028 2802904   5464 371648    0 1768     0  1768 1007  435  0  0 50 50  0  0
 0  4 694556 2807572   5464 371656    0 3528     0  3528 1556  631  0  1 50 50  0  0
