run,wall_sec,cpu_migrations
1,1.53,0
2,1.52,0
3,1.53,0
4,1.53,0
5,1.53,0
6,1.52,0
7,1.52,0
8,1.52,0
9,1.52,0
10,1.52,0
11,1.52,0
12,1.52,0
13,1.52,0
14,1.54,0
15,1.53,0
