run,wall_sec,cpu_migrations
1,7.26,2
2,7.27,1
3,7.64,2
4,7.27,2
5,7.26,1
6,7.39,4
7,7.26,2
8,7.26,2
9,7.26,1
10,7.26,1
11,7.25,1
12,7.27,2
13,7.27,2
14,7.26,2
15,7.26,2
