run,wall_sec,cpu_migrations
1,14.48,1
2,14.47,1
3,14.48,1
4,14.46,1
5,14.46,1
6,14.48,1
7,14.48,1
8,14.47,1
9,14.48,1
10,14.47,1
11,14.51,1
12,14.47,1
13,14.46,1
14,14.47,1
15,14.48,1
