 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0      0 5310768   6272 342136    0   90   144   122  339    0  0  0 99  0  0  0
 0  0      0 5316456   6272 342536    0    0     0     0  588  368  0  0 99  0  0  0
 0  0      0 5325276   6404 342540    0    0   132     0 1109  550  1  1 98  0  0  0
 1  1      0 5333468   6412 344076    0    0     8    72 2448 3092  2  2 96  0  0  0
 4  0      0 4929892   6816 372112    0    0 11284     0 3511  832 23  7 66  5  0  0
 4  0      0 4207940   6816 372120    0    0     0     0 4368  337 35 16 50  0  0  0
 4  0      0 3527548   6816 372124    0    0     0     0 4326  306 32 18 50  0  0  0
 4  0      0 2851228   6816 372128    0    0     0     0 4859  615 32 20 48  0  0  0
 8  0 138668 3194504   6824 372136    0 138588     0 138632 23687 7055 12 13 49 26  0  0
 3  3 303028 2948028   6824 372140    0 164440     0 164440 29635 8299 12 10 49 30  0  0
 1  3 456020 2746376   6824 372148    0 152992     0 152992 28336 7777 11 10 49 30  0  0
 1  3 617792 3153040   6824 372152    0 161772     0 161772 28693 8497 10  9 50 30  0  0
 1  3 706404 2934920   6824 372156    0 88612     0 88612 16146 4788 11  6 49 33  0  0
 1  3 724568 2741812   6832 372164    0 18164     0 18180 4669 1239 11  3 49 37  0  0
 1  3 781852 3141220   6832 372168    0 57284     0 57284 11014 3221 10  6 50 34  0  0
 1  3 944780 2923612   6832 372176    0 162928     0 162928 28316 8277 11  9 50 30  0  0
 2  3 980536 3287508   6832 372180    0 35756     0 35756 7242 2166 10  5 49 36  0  0
 1  3 980536 3116064   6832 372184    0    0     0     0 1464  359 11  2 50 37  0  0
 1  3 981040 2892060   6840 372208    0  504     0   520 3312 3122 13  3 47 37  0  0
 5  0 1030076 3300304   6840 372212    0 49008     0 49008 9003 2974 10  5 50 35  0  0
 1  3 1173384 3135184   6840 372220    0 143332     0 143332 24550 7547 11  9 50 30  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  3 1316404 2939244   6840 372228    0 143024     0 143024 24465 7659 11  9 50 31  0  0
 1  3 1462844 3334664   6840 372232    0 146440     0 146440 24060 7714 10  9 50 31  0  0
 1  3 1613328 3166628   6848 372240    0 150484     0 150500 27471 8016 11  9 50 31  0  0
 1  3 1752664 2944440   6848 372244    0 139336     0 139336 23960 7537 11  8 50 31  0  0
 4  0      0 5045284   6848 372252    0 167336     0 167336 14245 2765 22 20 49  8  0  0
 4  0      0 4267688   6848 372256    0    0     0     0 4338  317 43  8 50  0  0  0
 4  0      0 3393244   6848 372260    0    0     0     0 4360  339 43  8 49  0  0  0
 4  0      0 4486924   6860 372268    0    0     4   612 4611  674 40 10 50  0  0  0
 4  0      0 4310848   6860 372272    0    0     0     0 4304  308 42  8 50  0  0  0
 4  0      0 3436552   6860 372280    0    0     0     0 4318  294 43  8 50  0  0  0
 4  0      0 4484716   6860 372284    0    0     0     0 4545  372 40 11 49  0  0  0
 4  0      0 4336540   6860 372292    0    0     0     0 4307  306 40 10 49  0  0  0
 4  0      0 3516272   6868 372308    0    0     0   268 6163 3319 44  9 47  0  0  0
 4  0      0 4026216   6868 372312    0    0     0     0 4389  357 40 10 50  0  0  0
 4  0      0 4548944   6868 372320    0    0     0     0 4334  361 40 11 49  0  0  0
 4  0      0 3716028   6868 372324    0    0     0     0 4313  300 43  8 50  0  0  0
 4  0      0 4186772   6868 372328    0    0     0     0 4302  369 41  9 50  0  0  0
 4  0      0 4496732   6876 372336    0    0     0    36 4293  369 41  9 50  0  0  0
 4  0      0 3645068   7020 372340    0    0   144     0 4343  359 43  7 49  0  0  0
 4  0      0 4654784   7020 372348    0    0     0     0 4347  353 41 10 49  0  0  0
 4  0      0 4447692   7020 372356    0    0     0     0 4286  318 42  8 50  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0      0 3586156   7020 372360    0    0     0     0 4364  327 43  8 50  0  0  0
 4  0      0 4628740   7028 372372    0    0     0    24 4478  633 40 10 49  0  0  0
 5  0      0 4410056   7028 372376    0    0     0     0 4380  345 42  8 50  0  0  0
 6  0      0 3595452   7292 372384    0    0   264     0 4333  323 43  7 50  0  0  0
 4  0      0 4635304   7292 372388    0    0     0     0 4353  375 40 10 50  0  0  0
 4  0      0 4376716   7292 372392    0    0     0     0 4373  366 42  8 49  0  0  0
 4  0      0 3508248   7300 372400    0    0     0    16 5933 3368 46  8 47  0  0  0
 4  0      0 4618084   7300 372404    0    0     0     0 4399  391 41  9 50  0  0  0
 4  0      0 4160864   7300 372412    0    0     0     0 4303  301 42  8 50  0  0  0
 4  0      0 3513248   7300 372416    0    0     0     0 4291  312 42  8 50  0  0  0
 4  0      0 4583656   7300 372420    0    0     0     0 4381  384 40 10 49  0  0  0
 4  0      0 4280052   7308 372428    0    0     0    16 4436  493 43  8 49  0  0  0
 4  0      0 3435744   7308 372432    0    0     0     0 4315  310 42  9 50  0  0  0
 4  0      0 4525580   7308 372440    0    0     0     0 4518  386 38 12 49  0  0  0
 4  0      0 3687928   7308 372444    0    0     0     0 4384  335 42  9 49  0  0  0
 4  0      0 3435224   7308 372448    0    0     0     0 4324  325 42  8 50  0  0  0
 5  0      0 4540816   7316 372456    0    0     0    16 4335  395 40 10 50  0  0  0
 4  0      0 3627832   7316 372460    0    0     0     0 4335  337 43  7 50  0  0  0
 4  0      0 4044768   7316 372468    0    0     0     0 4365  379 40 11 50  0  0  0
 4  0 413324 4069276   7316 372472    0 413244     0 413244 6050  582 33 17 50  0  0  0
 3  1 515076 3425244   7316 372480    0 101832     0 101832 4071  481 31  9 49 10  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  3 530440 3384828   7324 372480    0 15364     0 15380 5007 3530 30  9 31 30  0  0
 2  2 539524 3642036   7324 372488    0 9084     0  9136 3591  631 19  7 49 25  0  0
 2  2 688468 3249952   7324 372496    0 148944     0 148944 18366 3467 20 11 50 19  0  0
 7  1 345092 3804256   7324 372504    0 296624     0 296624 13454 2392 23 16 50 10  0  0
 4  0      0 3807156   7324 372508    0 294908     0 294908 5968  714 28 22 50  0  0  0
 5  0      0 3266388   7332 372512    0    0     0    24 4307  389 46  5 50  0  0  0
 4  0 121976 3441216   7332 372536    0 121860     0 122080 4505  435 41  8 50  1  0  0
 2  2 514400 3634880   7332 372540    0 392540     0 392540 13496 2669 27 14 50  9  0  0
 2  2 698372 3195348   7332 372548    0 183972     0 183972 17473 4197 22 11 51 16  0  0
 4  0 848868 3431332   7332 372552    0 153800     0 153800 15619 3699 21 11 51 18  0  0
 4  0      0 4722516   7340 372560    0 427828     0 427860 6953  771 29 21 50  0  0  0
 4  0      0 3834240   7340 372548    0    0     0     0 4283  315 43  8 49  0  0  0
 4  0      0 3588652   7340 372552    0    0     0     0 4314  352 42  8 50  0  0  0
 2  2 427384 3569004   7340 372560    0 427384     0 427384 7556 1235 31 17 50  2  0  0
 4  0 637952 3143392   7640 372572    0 210568   308 210568 21124 4603 22 12 50 17  0  0
 2  2 858116 3307780   7648 372580    0 220164     0 220192 28613 8349 24 13 47 16  0  0
 5  0 374544 3660828   7648 372584    0 156280     0 156280 24446 6025 14 12 50 25  0  0
 2  2 506884 3245864   7648 372588    0 132488     0 132488 16143 2790 22  9 49 19  0  0
 2  2 648196 3484712   7648 372596    0 141312     0 141312 16289 3061 20 11 50 19  0  0
 2  2 846144 3711372   7648 372600    0 197948     0 197948 24869 4337 20 13 49 18  0  0
 4  0 576896 3958776   7656 372604    0 370668     0 370684 19523 3065 23 18 49 10  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0      0 4401916   7656 372616    0 63188     0 63188 5197  477 38 13 50  0  0  0
 4  0      0 4140284   7656 372620    0    0     0     0 4359  332 42  8 49  0  0  0
 4  0      0 3900172   7656 372632    0    0     0     0 4398  326 42  8 50  0  0  0
 4  0      0 4294132   7656 372636    0    0     0     0 4460  431 42  9 50  0  0  0
 4  0      0 4078444   7664 372644    0    0     0    16 4500  431 42  9 49  0  0  0
 4  0      0 4426660   7664 372648    0    0     0     0 4329  351 42  9 50  0  0  0
 4  0      0 4262236   7664 372652    0    0     0     0 4338  329 42  9 49  0  0  0
 5  0      0 4020892   7664 372660    0    0     0     0 4318  364 42  9 50  0  0  0
 4  0      0 4393280   7664 372664    0    0     0     0 4338  346 42  9 49  0  0  0
 4  0      0 4130156   7672 372668    0    0     0    16 6280 3587 44  9 47  0  0  0
 1  0 222608 4845968   7672 372664    0 355316     0 355316 4669  667 17 13 70  0  0  0
