procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1 259124 5203096   4924 342284    0   70   143   101  336    0  0  0 99  0  0  0
 0  0 259124 5223116   5372 342828    0    0   556     0  694  393  0  1 99  0  0  0
 0  0 259124 5237840   5388 343884    0    0   172     0 1127  588  1  1 98  0  0  0
 2  0 259124 5259944   5396 343896    0    0     4    60 1268  687  1  1 98  0  0  0
 5  0 259124 4543796   5800 371928    0    0 11280     0 4575  607 40  8 53  0  0  0
 4  0 259124 3675428   5800 371936    0    0     0     0 4361  330 42  8 50  0  0  0
 4  0 259124 3205548   5800 371940    0    0     0     0 4331  358 42  8 50  0  0  0
 4  0 259124 2682380   5800 371944    0    0     0     0 4812  646 30 22 48  0  0  0
 4  0 259124 2693028   5808 371952    0    0     0    48 4849  723 51  1 49  0  0  0
 4  0 259124 2791840   5808 371956    0    0     0     0 4354  343 50  0 50  0  0  0
 4  0 259124 4107540   5808 371964    0    0     0     0 4504  420 37 13 50  0  0  0
 4  0 259124 3518468   5808 371968    0    0     0     0 4398  346 44  6 50  0  0  0
 4  0 259124 4091856   5808 371972    0    0     0     0 4437  361 42  8 50  0  0  0
 4  0 259124 3978120   5816 371980    0    0     0    20 6266 3401 44 10 47  0  0  0
 4  0 259124 3744832   5816 371984    0    0     0     0 4330  326 42  8 50  0  0  0
 4  0 259124 4084504   5816 371992    0    0     0     0 4280  350 42  9 50  0  0  0
 4  0 259124 4365288   5816 371996    0    0     0     0 4508  377 41  9 50  0  0  0
 4  0 259124 3726100   5816 372000    0    0     0     0 4297  324 43  8 50  0  0  0
 2  2 360216 2975072   5824 372008    0 101092     0 101112 7925 1167 38  9 50  3  0  0
 2  2 511956 2744644   5824 372012    0 151740     0 151740 26897 7576 12  9 50 29  0  0
 0  4 654612 2745588   5824 372020    0 142656     0 142656 26060 10467  0  8 51 41  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  4 789892 2751884   5824 372028    0 135280     0 135280 27780 10298  0  7 51 42  0  0
 0  4 929580 2761136   5824 372032    0 139688     0 139688 27384 10210  0  7 52 41  0  0
 0  4 1069924 2764616   5832 372040    0 140344     0 140364 30914 10460  0  8 51 41  0  0
 0  4 1184004 2772236   6092 372044    0 113960   260 113960 21433 8384  0  7 51 42  0  0
 0  4 1284480 2776088   6092 372052    0 100596     0 100596 21363 8009  0  6 51 44  0  0
 4  2 1427424 2782844   6092 372056    0 142944     0 142944 31520 10786  0  7 51 42  0  0
 0  4 1569344 2793144   6092 372060    0 141920     0 141920 28264 10354  0  8 52 40  0  0
 0  4 1702812 2803020   6104 372068    0 133468     4 134064 27543 13086  2  9 48 41  0  0
 0  4 1842032 2810488   6104 372072    0 139220     0 139220 26098 10347  0  8 51 41  0  0
 0  4 1944272 2818124   6104 372080    0 102120     0 102120 17894 7655  0  6 52 42  0  0
 1  4 2079100 2826520   6104 372084    0 134948     0 134948 28398 9271  0  7 53 39  0  0
 0  4 2203492 2832328   6104 372092    0 124392     0 124392 25204 9457  0  8 50 42  0  0
