 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 216120 4837668   5100 327220    0   32   143    64  331    0  0  0 100  0  0  0
 0  0 216120 4850740   5552 327588    0    0   452     0  836  597  0  0 99  0  0  0
 0  0 216120 4867700   5552 327592    0    0     0     0  576  384  0  0 99  0  0  0
 5  0 216120 4897856   5560 327600    0    0     0    56  610  406  0  1 99  0  0  0
 4  0 216120 4086964   5964 355892    0    0 11540     0 5421 1226 40  9 50  0  0  0
 4  0 216120 3219432   5964 355900    0    0     0     0 4890  724 43  9 49  0  0  0
 4  0 216120 2886684   5964 355904    0    0     0     0 4455  574 42  9 49  0  0  0
 4  0 216120 4019408   5964 355908    0    0     0     0 4469  370 36 14 49  0  0  0
 4  0 216120 3179868   6232 355884    0    0   260    44 4368  327 41  9 50  0  0  0
 4  0 216120 3609652   6232 355920    0    0     0     0 4922  685 39 13 48  0  0  0
 4  0 216120 4102476   6232 355928    0    0     0     0 4872  726 41 10 49  0  0  0
 4  0 216120 3206760   6232 355932    0    0     0     0 4318  400 44  7 49  0  0  0
 4  0 216120 3650928   6232 357556    0    0     4     0 5698 3141 43 10 47  0  0  0
 4  0 626956 3385104   6240 357564    0 410764     0 410780 6081  657 33 17 49  0  0  0
 3  1 798780 2622520   6240 357568    0 171896     0 171896 4438  515 31 10 49  9  0  0
 3  2 814140 2863140   6244 357576    0 15360     4 15360 3560  423 29  9 50 12  0  0
 3  2 814140 3236700   6244 357580    0    0     0     0 3625  463 35  3 37 25  0  0
 3  2 814140 2787820   6244 357584    0    0     0     0 3593  505 35  4 37 25  0  0
 4  6 814140 3400816   6376 357584    0    0   128    12 3534  407 31  6 27 36  0  0
 3  1 838716 3192588   6380 357592    0 24576     0 24580 4488  532 30  8 42 20  0  0
 2  2 838720 2661512   6380 357596    0    4     0     4 3201  363 29  7 50 15  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  3 838724 2419080   6380 357604    0    4     0     4 1717  430 12  4 50 35  0  0
 1  3 838876 2827424   6380 357612    0  152     0   152 1463  367  9  4 50 37  0  0
 1  8 838876 2629564   6384 357612    0    0     0    16 1390  348 11  2 14 74  0  0
 1  3 839980 2328424   6388 357616    0 1104     0  1108 2994  667  9  4 33 54  0  0
 1  3 841032 2328264   6388 357624    0 1052     0  1052 1680  427 13  1 49 37  0  0
