procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  3 1118008 2342104   6544 363124    0 2500     0  2500 2041  567 12  2 49 37  0  0
 1  3 1118396 2823384   6544 363132    0  388     0   388 1650  469 13  1 50 37  0  0
 1  3 1118616 2256088   6544 363140    0  220     0   220 1534  451 12  1 50 37  0  0
 2  3 1118616 2309336   6544 363140    0    0     0     0 1486  462 12  1 50 37  0  0
 1  5 1118788 2350296   6548 363148    0  172     0   184 1578  430 12  2 41 46  0  0
 0  4 1128392 2255864   6552 363156    0 9604     0  9608 4580 1885 10  1 33 56  0  0
 0  4 1164388 2255864   6552 363164    0 35996     0 35996 6457 3164  0  3 50 47  0  0
 0  4 1174596 2255864   6552 363172    0 10208     0 10208 2780 1296  0  1 50 49  0  0
 0  4 1183156 2255864   6560 363176    0 8560     0  8576 4512 4431  2  2 49 47  0  0
 0  4 1187232 2255864   6560 363184    0 4076     0  4076 1403  757  1  1 53 46  0  0
 0  4 1188548 2255864   6560 363188    0 1316     0  1316  884  507  0  1 50 50  0  0
 0  4 1195732 2255864   6560 363192    0 7184     0  7184 2263 1061  0  1 50 49  0  0
 0  4 1201748 2255864   6560 363200    0 6016     0  6016 1807  906  0  1 50 49  0  0
 0  4 1211000 2255864   6568 363204    0 9252     0  9268 2587 1254  0  1 47 51  0  0
 0  4 1219080 2255864   6568 363212    0 8080     0  8080 2026 1032  0  1 50 49  0  0
 0  4 1227284 2255864   6568 363216    0 8204     0  8212 2135 1095  0  1 50 49  0  0
 0  4 1233756 2255864   6568 363220    0 6472     0  6472 1959  945  0  1 52 47  0  0
 0  4 1234716 2255616   6576 363232    0  960     0  1004 1035  595  0  1 46 54  0  0
 0  4 1236216 2255616   6576 363236    0 1500     0  1500  995  505  0  1 50 49  0  0
 0  4 1242320 2255908   6576 363244    0 6104     0  6104 2021  987  0  1 50 49  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  4 1266900 2255404   6580 363248    0 24580     4 24776 5105 2325  0  2 50 48  0  0
 0  4 1281492 2254648   6580 363252    0 14592     0 14592 3663 1703  0  2 51 48  0  0
 0  4 1290456 2255204   6580 363264    0 8964     0  8964 2832 1222  0  1 52 47  0  0
 0  4 1304972 2255204   6588 363268    0 14516     0 14556 5208 4057  2  2 52 43  0  0
