procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 256080 5326452   5372 340900    0   62   143    93  335    0  0  0 99  0  0  0
 0  0 256080 5331784   5544 342556    0    0   476     0 1337  697  1  1 98  0  0  0
 0  0 256080 5352100   5552 342560    0    0     0    60 1141  656  0  1 99  0  0  0
 1  0 256080 5369976   5552 342568    0    0     4     0  627  435  0  0 99  0  0  0
 4  0 256080 4582396   5956 370604    0    0 11280     0 4654  658 40  8 52  0  0  0
 4  0 256080 3826840   5956 370612    0    0     0     0 4434  431 40 10 50  0  0  0
 4  0 256080 2984668   5956 370664    0    0     0     0 4832  684 42  9 48  0  0  0
 4  0 256080 4602408   5964 370668    0    0     0    44 4941  835 40 12 48  0  0  0
 4  0 256080 3739860   5964 370676    0    0     0     0 4390  375 43  8 49  0  0  0
 4  0 256080 2937408   5964 370680    0    0     0     0 4330  392 43  8 50  0  0  0
 4  0 256080 4599436   5964 370688    0    0     0     0 4356  435 39 11 49  0  0  0
 4  0 256080 3729440   5964 370692    0    0     0     0 4336  409 43  7 50  0  0  0
 4  0 256080 2943240   5972 370696    0    0     0    12 4304  372 43  8 50  0  0  0
 4  0 256080 4603452   5972 370704    0    0     0     0 4368  479 40 10 50  0  0  0
 4  0 256080 3725980   6104 370708    0    0   132     0 4414  419 43  7 48  1  0  0
 4  0 256080 2946064   6104 370732    0    0     0     0 6124 3375 45  9 47  0  0  0
 4  0 256080 4234800   6104 370736    0    0     0     0 4502  448 38 13 50  0  0  0
 4  0 256080 3600288   6112 370740    0    0     0    16 4419  404 45  6 49  0  0  0
 4  0 256080 3127412   6112 370748    0    0     0     0 4344  407 45  5 50  0  0  0
 4  0 256080 4286544   6112 370752    0    0     0     0 4434  431 38 13 50  0  0  0
 4  0 256080 3634196   6112 370760    0    0     0     0 4346  363 44  6 50  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 256080 4194488   6112 370768    0    0     0     0 4386  426 43  7 49  0  0  0
 4  0 256080 4683900   6120 370772    0    0     0    12 4366  407 41  9 49  0  0  0
 4  0 256080 3817484   6120 370780    0    0     0     0 4349  386 43  8 50  0  0  0
 4  0 256080 4022996   6120 370784    0    0     0     0 4378  385 41 10 50  0  0  0
 4  0 256080 4694016   6120 370792    0    0     0     0 4477  601 41 10 49  0  0  0
 4  0 256080 3803996   6380 370796    0    0   260     0 4362  425 43  7 49  0  0  0
 4  0 256080 4155036   6388 370792    0    0     0    12 4352  400 42  9 49  0  0  0
 4  0 256080 4127888   6388 370808    0    0     0   596 4430  503 39 12 49  0  0  0
 4  0 256080 3462156   6388 370812    0    0     0     0 4344  426 45  6 49  0  0  0
 4  0 256080 4102884   6388 370820    0    0     0     0 6147 3267 45  8 46  0  0  0
 4  0 256080 4785544   6388 370824    0    0     0     0 4405  418 41 10 50  0  0  0
 4  0 256080 3948612   6396 370824    0    0     0    20 4390  377 42  8 50  0  0  0
