 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0 258236 5312096   4880 340884    0   66   143    97  336    0  0  0 99  0  0  0
 3  0 258236 5328908   5024 341504    0    0   144     0  513  341  0  0 100  0  0  0
 0  0 258236 5344556   5040 342272    0    0   172     0 1203  625  1  1 98  0  0  0
 1  0 258236 5359416   5048 342284    0    0     4    56 1226  667  0  1 99  0  0  0
 4  0 258236 4125648   5448 371824    0    0 11280     0 6616 4156 36 14 49  0  0  0
 5  0 258236 3455548   5448 371832    0    0     0     0 4455  393 44  6 50  0  0  0
 4  0 258236 2822632   5448 371836    0    0     0     0 4382  380 45  6 49  0  0  0
 4  0 258236 4468644   5448 371872    0    0     0     0 4968  731 41 11 48  0  0  0
 4  0 258236 3573760   5456 371880    0    0     0    44 4968  839 45  8 48  0  0  0
 4  0 310312 3352200   5456 371884    0 51948     0 51948 4578  446 41  9 50  0  0  0
 4  0 561640 4283092   5456 371892    0 588052     0 588052 6986  686 31 19 50  0  0  0
 4  0 258236 3683416   5456 371896    0    0     0     0 4424  438 42  9 49  0  0  0
 4  0 258236 3958596   5456 371900    0    0     0     0 4395  384 41  9 49  0  0  0
 4  0 258236 4528444   5464 371908    0    0     0    16 4413  426 41 10 49  0  0  0
 4  0 258236 3715772   5464 371912    0    0     0     0 4330  374 42  8 50  0  0  0
 4  0 258236 4094808   5464 371920    0    0     0     0 4385  435 41 10 50  0  0  0
 4  0 258236 4538396   5464 371924    0    0     0     0 4417  392 41  9 49  0  0  0
 4  0 258236 3679640   5464 371928    0    0     0     0 4426  404 43  7 49  0  0  0
 4  0 258236 3541032   5472 371936    0    0     0    16 4392  431 39 11 49  0  0  0
 4  0 258236 4127052   5472 371940    0    0     0     0 6311 3757 45  8 47  0  0  0
 4  0 258236 3508004   5472 371948    0    0     0     0 4314  404 45  5 50  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 481804 3501128   5472 371956    0 223564     0 223564 5647  498 39 11 50  0  0  0
 2  2 701540 3135548   5472 371960    0 219740     0 219740 18194 4398 19 15 50 15  0  0
 3  2 887360 2919948   5480 371968    0 185748     0 185764 18951 4771 24 10 50 16  0  0
 2  2 961940 3310092   5480 371972    0 74652     0 74652 8611 1996 23  6 50 22  0  0
