procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  0  17924 5260648   5380 335280    0   95   144   126  339    0  0  0 99  0  0  0
 1  0  17924 5269160   5396 336120    0    0   172     0 1456  671  1  2 96  1  0  0
 0  0  17924 5276808   5404 336124    0    0     0    56 1260  644  1  1 98  0  0  0
 0  1  17924 5290456   5540 336924    0    0  1012     0  853  691  0  1 98  1  0  0
 4  0  17924 5010316   5808 364100    0    0 10272     0 2340  743 14  4 74  8  0  0
 4  0  17924 4131544   6068 364172    0    0   260     0 4395  410 42  8 49  1  0  0
 5  0  17924 3240132   6068 364160    0    0     0     0 4943  666 43  9 48  0  0  0
 5  3 290824 4337100   6072 364160    0 272900     0 272940 5885  923 35 15 49  1  0  0
 5  1 451080 3326548   6076 365648    0 160256     4 160260 7720 2571 33  8 36 23  0  0
 3  1 482312 3853992   6076 365652    0 31232     0 31232 4765 2718 32  8 48 12  0  0
 3  1 482312 3891304   6076 365660    0    0     0     0 3539  481 32  6 50 12  0  0
 3  1 482312 3202444   6076 365664    0    0     0     0 3391  427 33  6 49 12  0  0
 3  3 482312 3834036   6080 365668    0    0     0    12 3376  416 31  8 37 25  0  0
 3  2 497672 4132944   6084 365676    0 15360     0 15364 11861 1333 32  6 30 32  0  0
 3  3 531976 3513996   6088 365676    0 34304     0 34316 3924  468 32  7 50 11  0  0
 4  0  17924 3802640   6092 365688    0 125948     0 125952 6790  764 34 13 37 16  0  0
 4  0  17924 3864360   6092 365692    0    0     0     0 4328  401 42  8 49  0  0  0
 4  0  17924 3221120   6092 365696    0    0     0     0 4366  378 44  6 49  0  0  0
 4  0  17924 4369904   6092 365704    0    0     0     0 4400  420 39 12 49  0  0  0
 4  0  17924 4153756   6100 365708    0    0     0    16 4395  414 42  9 49  0  0  0
 5  0  17924 3273368   6100 365736    0    0     0     0 6142 4122 45  9 47  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0  17924 3389680   6100 365740    0    0     0     0 4370  504 36 15 49  0  0  0
 4  0  17924 3544044   6100 365744    0    0     0     0 4388  425 46  5 49  0  0  0
 4  0  17924 3687120   6100 365752    0    0     0   608 4441  489 46  5 49  0  0  0
 4  0  17924 4253100   6108 365748    0    0     0    24 4368  445 42  8 49  0  0  0
 4  0  17924 3499356   6108 365764    0    0     0     0 4358  422 40 11 50  0  0  0
 4  0  17924 3414984   6108 365768    0    0     0     0 4388  453 44  6 49  0  0  0
 4  0  17924 4014992   6108 365772    0    0     0     0 4425  460 43  7 49  0  0  0
 4  0  17924 3330020   6116 365788    0    0     8   184 4460  443 40 10 49  0  0  0
 4  0  17924 3931816   6124 365792    0    0     0    28 4428  424 43  7 49  0  0  0
 4  0  17924 4526348   6124 365800    0    0     0     0 4436  453 43  7 49  0  0  0
 4  0  17924 3652808   6124 365804    0    0     0     0 4443  397 43  8 49  0  0  0
 4  0  17924 3507312   6124 365812    0    0     0     0 4412  467 39 12 49  0  0  0
 4  0  17924 4173340   6124 365820    0    0     0     4 4455  459 43  8 49  0  0  0
 4  0  17924 3515836   6132 365824    0    0     0    24 4402  417 45  5 49  0  0  0
 6  0  17924 4000620   6132 365832    0    0     0     0 6261 3748 45  9 47  0  0  0
 4  0  17924 4420436   6132 365836    0    0     0     0 4824  749 41 10 49  0  0  0
 4  0  17924 3570488   6132 365840    0    0     0     0 4412  422 44  7 49  0  0  0
 4  0  17924 3445548   6132 365848    0    0     0     0 4436  446 39 12 49  0  0  0
 4  0  17924 3850168   6140 365852    0    0     0    16 4433  416 42  9 49  0  0  0
 5  0  17924 3009036   6140 365860    0    0     0     0 4395  413 44  7 49  0  0  0
 4  0 539652 3169008   6140 365868    0 521728     0 521728 6500  601 35 16 49  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0  17924 4405116   6140 365872    0 118272     0 118272 5348  545 38 13 49  0  0  0
 4  0  17924 3745260   6140 365884    0    0     0     0 4429  424 43  8 49  0  0  0
 4  0  17924 3880492   6148 365888    0    0     0    16 4477  496 42  9 49  0  0  0
 5  0  17924 4395004   6148 365896    0    0     0     0 4416  456 41 10 49  0  0  0
 4  0  17924 3496632   6148 365900    0    0     0     0 4348  386 42  8 49  0  0  0
 4  0 268924 3351780   6148 365904    0 250920     0 250920 5369  514 37 14 49  0  0  0
 3  1 331272 3967508   6148 365912    0 62428     0 62428 3824  518 29 10 50 11  0  0
 4  3 331272 3821844   6152 365916    0    0     0    12 3579  463 32  6 42 20  0  0
 2  2 537904 3521640   6156 365924    0 206632     0 206636 27275 7333 28 10 42 21  0  0
 2  2 704332 3131052   6156 365928    0 166428     0 166428 21619 4097 22 10 49 18  0  0
 4  2 906560 3348384   6156 365932    0 202228     0 202228 26667 4753 21 12 50 17  0  0
 4  0 246920 4462044   6164 365928    0 391364     0 391380 7656  967 28 22 49  1  0  0
 4  0  17924 3958796   6164 365944    0    0     0     0 4533  453 42  8 50  0  0  0
 4  0  17924 3774760   6164 365952    0    0     0     0 4406  419 42  8 50  0  0  0
 5  0  17924 3640312   6164 365956    0    0     0     0 4444  443 37 13 49  0  0  0
 4  0  17924 3229528   6164 365960    0    0     0     0 4397  439 41 10 50  0  0  0
 4  0  17924 3490460   6176 365960    0    0     4   248 4475  454 45  6 49  0  0  0
 4  0  17924 3645516   6176 365980    0    0     0     0 4552  615 44  7 49  0  0  0
 4  0  17924 3708692   6176 365988    0    0     0     0 4349  436 38 12 49  0  0  0
 4  0  17924 3682500   6176 365996    0    0     0     0 4396  438 43  7 50  0  0  0
 4  0  17924 3718528   6176 366000    0    0     0     0 4389  412 44  6 49  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0  17924 3731688   6184 366000    0    0     0    16 4438  468 39 11 49  0  0  0
 5  0  17924 3703580   6184 366016    0    0     0     0 4590  649 44  7 49  0  0  0
 4  0  17924 4233976   6184 366024    0    0     0     0 5807 2793 46  7 47  0  0  0
 4  0 260732 3674912   6184 366028    0 242752     0 242752 5313  502 38 12 50  0  0  0
 4  0  17924 4285064   6184 366032    0 397248     0 397248 6109  823 31 19 49  0  0  0
 4  0  17924 4680668   6192 366040    0    0     0    16 4329  434 41 10 49  0  0  0
 4  0  17924 3900108   6192 366044    0    0     0     0 4310  359 42  8 50  0  0  0
 4  0  17924 3217968   6192 366052    0    0     0     0 4435  490 39 12 49  0  0  0
 5  0  17924 3883280   6192 366056    0    0     0     0 4387  438 40 10 49  0  0  0
 4  0  17924 3798560   6192 366064    0    0     0     0 4316  374 43  8 49  0  0  0
 4  0  17924 3729900   6200 366060    0    0     0    16 4319  374 42  9 50  0  0  0
 4  0  17924 4173764   6200 366072    0    0     0     0 4314  390 41 10 50  0  0  0
 4  0  17924 3976436   6200 366080    0    0     0     0 4367  363 42  9 49  0  0  0
 4  0  17924 3751600   6200 366084    0    0     0     0 4326  397 42  8 50  0  0  0
 4  0  17924 4184596   6200 366092    0    0     0     0 4389  408 41  9 50  0  0  0
 4  0  17924 3967408   6208 366088    0    0     0    16 4379  369 42  8 49  0  0  0
 5  0  17924 3193808   6208 366100    0    0     0     0 4623  851 40 11 49  0  0  0
 4  0  17924 3835248   6208 366108    0    0     0     0 5949 3577 43  9 47  0  0  0
 4  0  17924 3848560   6208 366112    0    0     0     0 4392  433 43  8 49  0  0  0
 4  0 532148 3192532   6208 366124    0 514120     0 514120 6529  773 34 16 49  0  0  0
 4  0  17924 3834256   6216 366120    0 125880     0 125896 5308  564 36 15 49  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0  17924 4180980   6216 366132    0    0     0     0 4394  400 41 10 49  0  0  0
 4  0  17924 3909824   6216 366140    0    0     0     0 4447  427 41  9 50  0  0  0
 4  0  17924 4337696   6216 366148    0    0     0     0 4404  429 41  9 49  0  0  0
 4  0 523268 3730568   6216 366148    0 505264     0 505264 5552  704 33 16 49  1  0  0
 4  0  17924 4200924   6224 366152    0 134736     0 134752 5075  611 38 13 50  0  0  0
 4  0  17924 4599848   6228 366160    0    0     4   216 4425  417 41  9 49  0  0  0
