 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 220220 5349864   4852 343652    0   73   143   105  337    0  0  0 99  0  0  0
 0  0 220220 5356700   5300 344168    0    0   448     0  529  372  0  0 100  0  0  0
 0  0 220220 5366996   5316 344904    0    0   172     0 1164  791  1  1 98  0  0  0
 1  0 220220 5381988   5316 344916    0    0     4     0 1105  623  0  1 99  0  0  0
 4  0 220220 4559292   5980 372948    0    0 11540     0 4459  629 40  8 52  0  0  0
 4  0 220220 3645368   5980 372956    0    0     0     0 4279  304 42  8 50  0  0  0
 4  5 220220 4169892   5984 372956    0    0     0    52 4257  372 41 10 31 19  0  0
 4  0 220220 3513556   5988 374500    0    0     4     4 11457 5007 42 11 33 14  0  0
 4  0 220220 4600780   5988 374504    0    0     0     0 4291  405 40 11 50  0  0  0
 4  0 220220 4482292   5988 374512    0    0     0     0 4232  334 42  9 50  0  0  0
 4  0 220220 3550904   5996 374516    0    0     0    16 4264  318 43  7 49  0  0  0
 4  0 220220 4105964   5996 374524    0    0     0     0 4300  353 39 12 49  0  0  0
 4  0 220220 4057348   5996 374528    0    0     0     0 4428  455 45  7 49  0  0  0
 4  0 220220 3382760   5996 374532    0    0     0     0 4282  337 45  6 50  0  0  0
 3  1 244800 4003256   5996 374540    0 24580     0 24580 3914  403 37  7 49  6  0  0
 3  6 260160 3971204   6000 374540    0 15360     0 15372 3617  390 31  7 23 39  0  0
 3  1 516160 3694508   6004 374544    0 256000     0 256004 6116  754 32 11 38 19  0  0
 3  1 703552 3733416   6004 374552    0 187392     0 187392 4908  679 31 11 49  8  0  0
 3  1 741440 3701276   6004 374556    0 37888     0 37888 4020  563 31  8 50 11  0  0
 2  2 756804 3676356   6004 374560    0 15364     0 15364 3686  491 31  7 50 13  0  0
 2  7 756804 3255612   6008 374560    0    0     0    12 2438  362 22  4 18 57  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 5  0 951484 3358144   6012 374568    0 194644     0 194648 21371 6426 23 10 42 25  0  0
 2  2 969244 3560260   6012 374572    0 17796     0 17796 4385  664 21  6 50 24  0  0
 2  2 969388 3744064   6012 374580    0  144     0   144 2452  360 21  4 50 25  0  0
 2  2 969540 3271880   6012 374588    0  152     0   152 2450  354 22  4 50 25  0  0
 2  2 970480 3457192   6020 374592    0  940     0   956 2600  372 21  4 39 36  0  0
 2  5 972052 3668312   6024 374596    0 1572     4  1680 2680  388 21  5 50 25  0  0
 3  3 360512 3724856   6024 374604    0 28460     0 28600 3409  748 27  9 43 21  0  0
 3  2 360512 3705388   6024 374612    0    0     0    52 3462  677 32  6 43 19  0  0
 3  2 376896 3717388   6024 374616    0 16384     0 16452 3645  523 32  6 50 12  0  0
 3  7 376896 4312468   6028 374616    0    0     0   140 3687  488 30  8 35 27  0  0
 3  1 730688 3603964   6032 374620    0 353792     0 353840 6482  872 31 14 46  9  0  0
 3  1 762944 3585288   6032 374628    0 32256     0 32256 3882  542 31  8 50 11  0  0
 4  0 220220 4307452   6036 374640    0 97276     4 97468 4680  693 28 16 48  8  0  0
 4  0 220220 3612640   6036 374648    0    0     0     0 4362  333 45  6 49  0  0  0
 4  0 220220 3572700   6044 374652    0    0     0    36 4427  348 44  6 50  0  0  0
 4  0 220220 4685752   6044 374660    0    0     0     0 6160 3479 42 11 47  0  0  0
 4  0 220220 4453196   6044 374668    0    0     0     0 4365  335 41 10 50  0  0  0
 5  0 220220 3615728   6044 374672    0    0     0     0 4303  357 42  8 49  0  0  0
 4  0 220220 4018788   6044 374680    0    0     0     0 4303  335 41 10 50  0  0  0
 4  0 220220 4440364   6052 374684    0    0     0    16 4366  371 41  9 49  0  0  0
 4  0 220220 3988796   6052 374688    0    0     0     0 4320  316 42  9 50  0  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 220220 3941716   6052 374696    0    0     0     0 4325  351 41 10 50  0  0  0
