procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  0 220084 4982148   5324 328292    0   37   143    68  332    0  0  0 100  0  0  0
 0  0 220084 4986920   5344 328600    0    0    20     0 1256  909  1  1 99  0  0  0
 0  0 220084 4992172   5344 328604    0    0     0     0  683  519  0  1 99  0  0  0
 2  0 220084 4996032   5352 328608    0    0     4    60  664  474  0  0 99  0  0  0
 4  0 220084 4041820   5896 358104    0    0 12580     0 5332 1421 46  4 49  0  0  0
 4  0 220084 3066820   5896 358160    0    0     0     0 4945  697 48  4 48  0  0  0
 4  0 220084 4567212   5896 358164    0    0     0     0 4951  826 48  4 48  0  0  0
 4  0 220084 3724980   5896 358168    0    0     0     0 4437  462 47  4 49  0  0  0
 4  0 220084 2742756   5904 358176    0    0     0    48 4360  422 47  3 49  0  0  0
 4  0 220084 4198572   5904 358180    0    0     0     0 4368  516 46  5 49  0  0  0
 4  0 220084 3327160   5904 358188    0    0     0     0 4425  425 48  3 49  0  0  0
 4  0 447892 3008404   5904 358192    0 227808     0 227808 5303  599 43  8 49  0  0  0
 4  0 220084 3753672   5904 358196    0 412192     0 412192 6393 1170 34 17 49  0  0  0
 4  0 220084 3014876   5912 358204    0    0     0    16 4379  433 48  3 49  0  0  0
 4  0 220084 4100540   5912 358240    0    0     0     0 5807 3476 49  5 47  0  0  0
 4  0 220084 3313532   5912 358248    0    0     0     0 4350  410 48  3 49  0  0  0
 4  0 220084 2613084   5912 358252    0    0     0     0 4363  435 49  2 49  0  0  0
 3  1 509368 3242172   5912 358256    0 289284     0 289284 5552  843 42  8 49  1  0  0
 3  1 834488 3142048   5920 358264    0 325120     0 325136 6614 1868 37  9 45  8  0  0
 3  1 834488 3607008   5920 358268    0    0     0     0 4627 1499 38  2 48 12  0  0
 3  1 849848 3495724   5920 358276    0 15360     0 15360 4518 1497 38  2 47 12  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  1 849848 2707248   5920 358284    0    0     0     0 4114  990 38  2 48 12  0  0
 3  1 849848 3801112   5920 358288    0    0     0     0 3446  505 36  2 49 12  0  0
 4  1 720832 3190572   5928 358288    0 10236     0 10252 3767  512 36  3 21 40  0  0
 4  0 220084 2986224   5928 358300    0    0     0     0 4988  572 45  5 49  0  0  0
