 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 3  0 264236 4896756   5348 327604    0   47   143    78  333    0  0  0 100  0  0  0
 0  0 264236 4896480   5368 328044    0    0    20     0  487  367  0  0 100  0  0  0
 0  0 264236 4894292   5392 329164    0    0   172    60 1186  603  1  1 98  0  0  0
 1  0 264236 4893060   5392 329176    0    0     4     0 1058  684  0  1 99  0  0  0
 5  0 264236 2256768   5936 358424    0    0 12632     0 6225 1172 41  9 50  0  0  0
 3  1 418864 3197868   5936 358432    0 154628     0 154628 4861  535 44  5 49  1  0  0
 3  1 418864 2248924   5936 358436    0    0     0     0 3585  396 36  2 50 12  0  0
 3  3 434224 2255992   5940 358440    0 15360     0 15404 4251  738 35  5 47 13  0  0
 3  2 464944 2726172   5944 358448    0 30720     0 30724 14264 2288 35  4 19 42  0  0
 4  0 508724 2176964   5944 358452    0 43752     0 43752 4070  519 32  7 46 15  0  0
 3  3 558640 2569240   5948 358492    0 49944     0 49956 5639 3536 37  5 46 12  0  0
 2  2 623796 2267900   5952 358496    0 65156     0 65160 17446 2500 31  3 20 45  0  0
 2  3 651452 2272012   5960 358500    0 27656     0 27672 5060  964 23  4 49 24  0  0
 2  2 658240 2715388   5960 358508    0 6788     0  6788 3327  576 24  2 48 26  0  0
 2  2 689256 2271256   5960 358508    0 31016     0 31016 4911  823 25  2 50 24  0  0
 2  2 689532 2275100   5960 358512    0  276     0   276 2582  383 23  3 50 25  0  0
 3  1 749616 2680604   5960 358524    0 60080     0 60080 8863 1885 24  5 49 22  0  0
 5  0 936212 2270752   5968 358520    0 186440     0 186456 22955 4320 25  8 49 18  0  0
 2  2 995516 2274596   5968 358536    0 59464     0 59464 9842 1745 23  5 49 23  0  0
 2  2 997424 2738256   5968 358540    0 1908     0  1908 2771  421 22  4 50 25  0  0
 2  2 1014032 2235988   5968 358552    0 16608     0 16608 4502  757 22  4 49 24  0  0
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  2 1032240 2340432   5968 358556    0 18208     0 18208 4481  686 23  4 49 24  0  0
 2  4 1035576 2977368   5972 358552    0 3336     4  3392 4819 3721 26  2 44 28  0  0
 2  4 1035988 2538872   5980 358568    0  412     0   616 3429  902 24  2 28 47  0  0
 2  2 1040892 2267448   5980 358572    0 4904     0  5060 2895  545 20  6 44 30  0  0
 2  2 1126000 2688752   5980 358580    0 85108     0 85108 10284 2216 24  5 50 21  0  0
 2  2 1178444 2645420   5980 358584    0 52444     0 52444 3096  603 23  4 61 11  0  0
 2  4 1202228 2394660   5992 358584    0 23784    12 23792 2661  452 24  2 52 22  0  0
