procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  2 753852 3243420   8272 363032    0 3728     0  3728 2632  365 24  2 50 25  0  0
 2  2 755864 2750180   8272 363032    0 2012     0  2012 2752  381 23  3 50 25  0  0
 1  3 757656 2502964   8272 363040    0 1792     0  1792 2128  431 12  2 50 36  0  0
 1  3 757924 2920920   8272 363048    0  268     0   268 1602  421 11  2 50 37  0  0
 1  4 758064 2658592   8280 363052    0  140     0   160 1480  386 12  1 45 42  0  0
 1  3 758216 2404112   8280 363056    0  152     0   152 2604 2733 14  2 48 37  0  0
 1  3 758752 2779772   8280 363064    0  536     0   536 1642  371 12  1 50 37  0  0
 1  3 759356 2517604   8280 363072    0  604     0   604 1719  427 12  1 49 37  0  0
 1  3 761400 2911732   8280 363076    0 2044     0  2044 1958  543 12  1 50 37  0  0
 4  0 762712 2678892   8288 363080    0 1204     0  1224 1758  449 11  2 44 43  0  0
 4  0 783368 2474892   8288 363088    0 20764     0 20764 4610 1523 11  3 50 36  0  0
 1  3 879728 2946300   8288 363092    0 96360     0 96360 16882 5142 10  7 50 32  0  0
 1  3 880760 2688192   8288 363096    0 1032     0  1032 1694  421 12  1 50 37  0  0
 1  3 881196 2425136   8288 363100    0  436     0   436 1682  418 12  1 50 37  0  0
 1  3 881952 2808280   8296 363108    0  756     0   776 1749  447 11  2 43 44  0  0
 1  3 905152 2588028   8296 363116    0 23200     0 23200 5217 1479 11  3 50 36  0  0
 1  3 905784 2358548   8296 363120    0  632     0   632 1592  416 11  2 49 37  0  0
 1  4 906180 2774764   8296 363132    0  396     0   592 1592  502 11  2 38 49  0  0
 1  3 907140 2512320   8296 363136    0  960     0   988 1751  524 12  1 49 37  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  3 908496 2888648   8304 363140    0 1356     0  1376 1880  465 12  1 47 40  0  0
 1  3 910448 2630372   8304 363144    0 1952     0  1952 3766 4066 15  2 47 37  0  0
 1  3 994196 2396852   8304 363148    0 83748     0 83748 14742 4508 12  5 50 33  0  0
 0  3 1072012 2982688   8304 363160    0 77816     0 77816 14448 4389  5  4 58 33  0  0
 0  3 1075076 2985368   8304 363164    0 3064     0  3064 1241  553  0  1 62 37  0  0
 0  3 1124768 2990228   8312 363168    0 49692     0 49716 9069 2818  0  3 62 35  0  0
 0  3 1136520 2995904   8316 363176    0 11752     4 11760 2837 1274  0  1 63 36  0  0
 0  3 1155680 2999088   8316 363188    0 19160     0 19160 3286 1261  0  2 63 35  0  0
